"filename", "language", "Docker", "Properties", "Shell Script", "YAML", "Python", "Markdown", "Ini", "Batch", "CSS", "Makefile", "reStructuredText", "JSON", "pip requirements", "comment", "blank", "total"
"/home/x/dawenxun/AtrousLSHTransformer/.circleci/config.yml", "YAML", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 169
"/home/x/dawenxun/AtrousLSHTransformer/.dev_scripts/batch_test_list.py", "Python", 0, 0, 0, 0, 356, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 360
"/home/x/dawenxun/AtrousLSHTransformer/.dev_scripts/benchmark_filter.py", "Python", 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 168
"/home/x/dawenxun/AtrousLSHTransformer/.dev_scripts/benchmark_inference_fps.py", "Python", 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 171
"/home/x/dawenxun/AtrousLSHTransformer/.dev_scripts/benchmark_test_image.py", "Python", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 103
"/home/x/dawenxun/AtrousLSHTransformer/.dev_scripts/check_links.py", "Python", 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 10, 29, 158
"/home/x/dawenxun/AtrousLSHTransformer/.dev_scripts/convert_test_benchmark_script.py", "Python", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 120
"/home/x/dawenxun/AtrousLSHTransformer/.dev_scripts/convert_train_benchmark_script.py", "Python", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 100
"/home/x/dawenxun/AtrousLSHTransformer/.dev_scripts/gather_models.py", "Python", 0, 0, 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 24, 57, 341
"/home/x/dawenxun/AtrousLSHTransformer/.dev_scripts/gather_test_benchmark_metric.py", "Python", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 97
"/home/x/dawenxun/AtrousLSHTransformer/.dev_scripts/gather_train_benchmark_metric.py", "Python", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18, 151
"/home/x/dawenxun/AtrousLSHTransformer/.dev_scripts/linter.sh", "Shell Script", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/x/dawenxun/AtrousLSHTransformer/.dev_scripts/test_benchmark.sh", "Shell Script", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 120
"/home/x/dawenxun/AtrousLSHTransformer/.dev_scripts/test_init_backbone.py", "Python", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 63, 24, 182
"/home/x/dawenxun/AtrousLSHTransformer/.dev_scripts/train_benchmark.sh", "Shell Script", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 135
"/home/x/dawenxun/AtrousLSHTransformer/.github/CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 20, 77
"/home/x/dawenxun/AtrousLSHTransformer/.github/CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/x/dawenxun/AtrousLSHTransformer/.github/ISSUE_TEMPLATE/config.yml", "YAML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/x/dawenxun/AtrousLSHTransformer/.github/ISSUE_TEMPLATE/error-report.md", "Markdown", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48
"/home/x/dawenxun/AtrousLSHTransformer/.github/ISSUE_TEMPLATE/feature_request.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"/home/x/dawenxun/AtrousLSHTransformer/.github/ISSUE_TEMPLATE/general_questions.md", "Markdown", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/x/dawenxun/AtrousLSHTransformer/.github/ISSUE_TEMPLATE/reimplementation_questions.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 24, 69
"/home/x/dawenxun/AtrousLSHTransformer/.github/pull_request_template.md", "Markdown", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26
"/home/x/dawenxun/AtrousLSHTransformer/.github/workflows/build.yml", "YAML", 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 281
"/home/x/dawenxun/AtrousLSHTransformer/.github/workflows/build_pat.yml", "YAML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/home/x/dawenxun/AtrousLSHTransformer/.github/workflows/deploy.yml", "YAML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/home/x/dawenxun/AtrousLSHTransformer/.github/workflows/lint.yml", "YAML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/home/x/dawenxun/AtrousLSHTransformer/.owners.yml", "YAML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"/home/x/dawenxun/AtrousLSHTransformer/.pre-commit-config.yaml", "YAML", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"/home/x/dawenxun/AtrousLSHTransformer/.readthedocs.yml", "YAML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/x/dawenxun/AtrousLSHTransformer/CITATION.cff", "YAML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/x/dawenxun/AtrousLSHTransformer/README.md", "Markdown", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"/home/x/dawenxun/AtrousLSHTransformer/README_zh-CN.md", "Markdown", 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 55, 351
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/datasets/cityscapes_detection.py", "Python", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 57
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/datasets/cityscapes_instance.py", "Python", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 57
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/datasets/coco_detection.py", "Python", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 52
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/datasets/coco_instance.py", "Python", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 50
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/datasets/coco_instance_semantic.py", "Python", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 55
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/datasets/coco_panoptic.py", "Python", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 60
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/datasets/deepfashion.py", "Python", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 54
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/datasets/lvis_v0.5_instance.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 25
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/datasets/lvis_v1_instance.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 25
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/datasets/openimages_detection.py", "Python", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 66
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/datasets/voc0712.py", "Python", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 56
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/datasets/wider_face.py", "Python", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 64
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/default_runtime.py", "Python", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 28
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/models/cascade_mask_rcnn_r50_fpn.py", "Python", 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 197
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/models/cascade_rcnn_r50_fpn.py", "Python", 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 180
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/models/fast_rcnn_r50_fpn.py", "Python", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 63
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/models/faster_rcnn_r50_caffe_c4.py", "Python", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 118
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/models/faster_rcnn_r50_caffe_dc5.py", "Python", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 106
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/models/faster_rcnn_r50_fpn.py", "Python", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 109
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/models/mask_rcnn_r50_caffe_c4.py", "Python", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 126
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/models/mask_rcnn_r50_fpn.py", "Python", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 121
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/models/retinanet_r50_fpn.py", "Python", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 61
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/models/rpn_r50_caffe_c4.py", "Python", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 59
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/models/rpn_r50_fpn.py", "Python", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 59
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/models/ssd300.py", "Python", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 57
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/schedules/schedule_1x.py", "Python", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 12
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/schedules/schedule_20e.py", "Python", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 12
"/home/x/dawenxun/AtrousLSHTransformer/configs/_base_/schedules/schedule_2x.py", "Python", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 12
"/home/x/dawenxun/AtrousLSHTransformer/configs/albu_example/README.md", "Markdown", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 10, 32
"/home/x/dawenxun/AtrousLSHTransformer/configs/albu_example/mask_rcnn_r50_fpn_albu_1x_coco.py", "Python", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74
"/home/x/dawenxun/AtrousLSHTransformer/configs/atss/README.md", "Markdown", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 10, 32
"/home/x/dawenxun/AtrousLSHTransformer/configs/atss/atss_r101_fpn_1x_coco.py", "Python", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/x/dawenxun/AtrousLSHTransformer/configs/atss/atss_r50_fpn_1x_coco.py", "Python", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 63
"/home/x/dawenxun/AtrousLSHTransformer/configs/atss/metafile.yml", "YAML", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 61
"/home/x/dawenxun/AtrousLSHTransformer/configs/autoassign/README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 12, 36
"/home/x/dawenxun/AtrousLSHTransformer/configs/autoassign/autoassign_r50_fpn_8x2_1x_coco.py", "Python", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 86
"/home/x/dawenxun/AtrousLSHTransformer/configs/autoassign/metafile.yml", "YAML", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"/home/x/dawenxun/AtrousLSHTransformer/configs/carafe/README.md", "Markdown", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 14, 43
"/home/x/dawenxun/AtrousLSHTransformer/configs/carafe/faster_rcnn_r50_fpn_carafe_1x_coco.py", "Python", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"/home/x/dawenxun/AtrousLSHTransformer/configs/carafe/mask_rcnn_r50_fpn_carafe_1x_coco.py", "Python", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"/home/x/dawenxun/AtrousLSHTransformer/configs/carafe/metafile.yml", "YAML", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"/home/x/dawenxun/AtrousLSHTransformer/configs/cascade_rcnn/README.md", "Markdown", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 1, 18, 80
"/home/x/dawenxun/AtrousLSHTransformer/configs/cascade_rcnn/cascade_mask_rcnn_r101_caffe_fpn_1x_coco.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
